Contig	X3	M5	M1	X5	C1	X4	M3	X6	H4	C3	M2	H6	H1	C4	H5	X2	H2	C2	M6	C6	H3	X1	C5	M4
H2_24617	0	4	2	1	1	0	0	0	24	17	3	12	90	0	0	0	175	7	2	1	30	1	0	0
H2_24640	0	0	0	0	0	0	2	0	36	4	0	12	369	2	66	0	502	10	2	0	31	0	6	0
H2_24657	0	9	4	77	6	2	0	0	0	4	0	0	25	0	0	3	47	26	17	0	6	5	0	37
H2_24664	0	0	0	0	3	0	0	0	1	0	0	0	78	0	73	0	77	0	0	0	35	0	0	0
H2_2469	39	947	2343	1342	1162	2267	1500	120	2108	926	1292	625	7389	653	2707	3512	13951	261	1361	100	6396	838	1411	1614
H2_24703	0	0	16	6	0	18	6	8	0	158	2	0	33	20	0	1	118	0	4	24	2	2	0	6
H2_24707	0	4	11	17	262	194	10	2	207	114	2	26	380	94	56	80	246	86	47	15	323	43	163	4
H2_24756	0	2	17	23	0	39	0	0	24	2	0	18	1648	0	55	17	3843	0	0	0	4198	13	4	0
H2_248	0	0	253	12	2	0	0	2	2	879	0	0	31	0	2	73	499	0	0	0	37	0	6	4
H2_24826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0
H2_24961	0	11	10	0	71	135	1	0	1277	60	0	5	31	183	51	8	336	244	4	13	628	31	393	0
H2_24983	0	0	0	5	0	0	0	0	0	0	0	0	4	0	0	6	72	0	0	0	0	4	0	0
H2_25007	0	0	8	1	35	1	0	0	20	36	2	2	31	4	25	14	71	37	1	2	4	0	88	0
H2_25030	0	0	0	0	1	0	0	0	0	3	0	0	4	0	0	0	94	0	0	0	0	3	0	0
H2_25116	0	0	0	0	0	0	0	0	2	1	0	1	8	0	0	0	48	0	0	0	21	0	0	5
H2_2517	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	282	0	1	0	6	0	0	0
H2_25238	2	0	0	6	0	0	0	2	0	0	0	0	6	0	0	0	167	0	0	0	0	4	0	0
H2_25243	0	0	0	0	76	0	15	0	56	49	0	0	64	0	2	0	458	44	0	14	196	0	34	0
H2_25247	0	0	0	0	0	0	0	1	3	0	0	4	10	0	18	0	90	0	0	0	10	3	0	2
H2_25278	0	2	0	2	41	0	1	0	4	0	0	0	5	19	5	0	56	1	0	12	10	23	10	0
H2_2531	0	16	4	42	38	17	11	2	437	237	10	22	108	125	98	15	249	158	11	20	34	23	56	3
H2_25427	0	0	48	0	44	5	88	0	0	122	40	0	312	4	0	1	1604	0	5	12	10	0	10	0
H2_25446	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	291	0	0	0	0	0	0	0
H2_25502	2	2	28	5	0	8	1	0	0	0	3	0	23	10	1	16	355	0	5	1	13	6	9	0
H2_2563	1	6	14	11	23	45	10	7	34	10	15	0	38	11	0	6	76	361	6	75	5	53	20	11
H2_25653	0	12	2	18	21	7	4	7	4	24	0	0	26	7	0	6	126	12	0	29	4	0	167	18
H2_25691	0	0	0	2	0	0	0	1	0	0	0	0	53	0	0	0	76	5	0	4	5	0	2	0
