ID	Marmota himalayana	Marmota sibirica	Marmota caudata	Marmota baibacina
C1_22770	5	18	2693	18
C1_22791	146	80	379	35
C1_22798	2	0	332	2
C1_22816	0	6	2996	0
C1_22886	3	2	120	12
C1_22923	56	70	332	31
C1_22935	0	0	279	159
C1_22983	2	11	684	38
C1_22996	17	11	98	20
C1_23067	5792	6670	11859	19279
C1_23072	0	0	9813	0
C1_23081	2	24	888	16
C1_23163	1	0	597	11
C1_23199	526	297	856	266
C1_23264	0	0	621	1
C1_23279	21	93	26452	2297
C1_23305	50	122	363	313
C1_23343	0	9	172	33
C1_23363	17	156	2345	741
C1_23439	2	1169	11094	170
C1_23442	1	1	204	10
C1_23529	3	28	123	2
C1_23627	1	0	788	69
C1_23683	0	0	99	0
C1_23834	120	209	2084	129
C1_23872	0	4	3459	290
C1_23919	12	2	119	0
C1_23922	0	0	80	0
C1_24001	68	144	2186	488
C1_24082	0	0	938	6
C1_24110	3	8	5452	3
C1_24153	9	2	64	0
C1_24156	139	29	249	69
C1_24184	10	11	234	54
C1_24231	1	8	458	166
C1_24240	0	8	87	9
C1_24270	9	39	142	27
C1_24311	14	27	1048	2
C1_24321	23	1298	6743	386
C1_24330	1402	425	5151	1674
C1_24360	2	7	326	40
C1_24395	11	34	248	11
C1_24411	5	0	399	14
C1_24418	0	0	176	3
C1_24458	6	0	77	5
C1_24459	0	0	843	561
C1_24476	25	17	36961	111
C1_24603	192	72	3523	235
C1_24664	150	96	1689	143
C1_24670	1	8	670	59
C1_24673	0	74	2203	67
C1_24679	37	66	509	47
C1_24702	0	31	92	10
C1_24710	0	0	379	0
C1_24779	30	16	919	13
C1_24785	544	1837	836	177
C1_24791	37	291	4010	607
C1_24912	522	416	774	20
C1_25004	0	0	115	0
C1_25035	11	48	199	28
C1_25057	1	1	2676	304
C1_25143	0	0	75	9
C1_25159	145	482	1584	15
C1_25204	0	0	153	0
C1_25228	0	1	3349	255
C1_25255	0	0	120	0
C1_25300	0	8	93	0
C1_25349	86	44	224	87
C1_25396	0	0	79	2
C1_25489	60	228	4070	636
C1_25528	112	12	94	93
C1_25539	0	1	277	0
C1_25577	1	5	166	2
C1_25705	64	25	6522	166
C1_25729	0	3	112	22
C1_25733	17	18	122	11
C1_25736	31	45	1669	99
C1_25769	81	67	305	28
C1_25809	71	60	1575	236
C1_25841	144	898	376	404
C1_25871	211	996	429	461
C1_25885	149	335	192	278
C1_25911	21	56	295	85
C1_25942	13	7	251	36
C1_25956	0	0	64	0
C1_26022	74	162	1982	27
C1_26072	6	2	226	8
C1_26156	6	9	75	1
C1_26232	57	105	1376	88
C1_26274	12	2	170	25
C1_26296	2	31	852	1337
C1_26375	12	71	277	98
C1_26392	0	0	1113	0
C1_26400	0	2	22955	330
C1_26412	0	0	90	13
C1_26474	102	107	2060	1288
C1_26537	0	0	255	11
C1_26546	857	583	1719	105
C1_26583	131	8	588	176
C1_26608	1	0	2412	37
C1_26655	3608	8441	8511	32659
C1_26656	0	9	105	28
C1_26663	907	0	675	93
C1_26673	69	19	71	10
C1_26680	83	49	119	41
C1_26739	0	2	110	0
C1_26921	42	328	301	435
C1_26993	35	43	2093	5
C1_27041	383	217	1581	33
C1_27070	0	7	31306	93
C1_27087	0	0	106	4
C1_27154	18	149	823	161
C1_27173	246	191	251	92
C1_27208	477	267	287	86
C1_27221	14	0	131	8
C1_27326	0	0	411	7
